material_code,material_description,material_type,manufacturer,specification,uom
ALP-001,SS HEX BOLT M10 X 50 MM,Fastener,ABC Industries,M10 x 50 mm,PCS
ALP-002,MS HEX BOLT M12 X 60 MM,Fastener,Metro Engineering,M12 x 60 mm,PCS
ALP-003,SS NUT M10,Fastener,ABC Industries,M10,PCS
ALP-004,MS NUT M12,Fastener,Metro Engineering,M12,PCS
ALP-005,MS PIPE 50 MM,Pipe,Eastern Tubes,Dia 50 mm,MTR
ALP-006,MS PIPE 75 MM,Pipe,Eastern Tubes,Dia 75 mm,MTR
ALP-007,CS GATE VALVE 50 MM,Valve,FlowTech,50 mm,PCS
ALP-008,CS GATE VALVE 100 MM,Valve,FlowTech,100 mm,PCS
ALP-009,BALL BEARING 6205,Bearing,Prime Bearings,6205,PCS
ALP-010,BALL BEARING 6206,Bearing,Prime Bearings,6206,PCS
ALP-011,CU CABLE 4 SQMM 1.1KV,Electrical Cable,ElectroCore,"4 sq mm, 1.1 kV",MTR
ALP-012,CU CABLE 6 SQMM 1.1KV,Electrical Cable,ElectroCore,"6 sq mm, 1.1 kV",MTR
ALP-013,MS PLATE 6 MM,Steel Plate,SteelWorks,Thickness 6 mm,KG
ALP-014,MS PLATE 10 MM,Steel Plate,SteelWorks,Thickness 10 mm,KG
ALP-015,SS PLATE 304 5 MM,Steel Plate,SteelWorks,"SS304, 5 mm",KG
ALP-016,MS HEX BOLT M16 X 80 MM,Fastener,Metro Engineering,M16 x 80 mm,PCS
ALP-017,SS NUT M12,Fastener,ABC Industries,M12,PCS
ALP-018,GI PIPE 50 MM,Pipe,Eastern Tubes,Dia 50 mm,MTR
ALP-019,BUTTERFLY VALVE 150 MM,Valve,FlowTech,150 mm,PCS
ALP-020,BALL BEARING 6208,Bearing,Prime Bearings,6208,PCS
ALP-021,CU CABLE 10 SQMM 1.1KV,Electrical Cable,ElectroCore,"10 sq mm, 1.1 kV",MTR
ALP-022,MS PLATE 12 MM,Steel Plate,SteelWorks,Thickness 12 mm,KG
ALP-023,SS PLATE 316 6 MM,Steel Plate,SteelWorks,"SS316, 6 mm",KG
ALP-024,CS GATE VALVE 150 MM,Valve,FlowTech,150 mm,PCS
ALP-025,MS PIPE 100 MM,Pipe,Eastern Tubes,Dia 100 mm,MTR
ALP-026,SS HEX BOLT M10 X 60 MM,Fastener,ABC Industries,M10 x 60 mm,PCS
ALP-027,MS HEX BOLT M10 X 50 MM,Fastener,Metro Engineering,M10 x 50 mm,PCS
ALP-028,MS NUT M10,Fastener,Metro Engineering,M10,PCS
ALP-029,SS PIPE 50 MM,Pipe,Eastern Tubes,Dia 50 mm,MTR
ALP-030,CHECK VALVE 50 MM,Valve,FlowTech,50 mm,PCS
ALP-031,BALL BEARING 6210,Bearing,Prime Bearings,6210,PCS
ALP-032,AL CABLE 16 SQMM 1.1KV,Electrical Cable,ElectroCore,"16 sq mm, 1.1 kV",MTR
ALP-033,MS PLATE 8 MM,Steel Plate,SteelWorks,Thickness 8 mm,KG
ALP-034,SS PLATE 304 10 MM,Steel Plate,SteelWorks,"SS304, 10 mm",KG
ALP-035,MS HEX BOLT M20 X 100 MM,Fastener,Metro Engineering,M20 x 100 mm,PCS
ALP-036,MS PIPE 150 MM,Pipe,Eastern Tubes,Dia 150 mm,MTR
ALP-037,CS GATE VALVE 200 MM,Valve,FlowTech,200 mm,PCS
ALP-038,CU CABLE 25 SQMM 1.1KV,Electrical Cable,ElectroCore,"25 sq mm, 1.1 kV",MTR
ALP-039,MS PLATE 16 MM,Steel Plate,SteelWorks,Thickness 16 mm,KG
ALP-040,SS NUT M16,Fastener,ABC Industries,M16,PCS
