alpha_code,beta_code,gamma_code,relationship
ALP-001,BET-4501,GAM-882,same_material
ALP-002,BET-4502,GAM-883,same_material
ALP-003,BET-4503,GAM-884,same_material
ALP-004,BET-4504,GAM-885,same_material
ALP-005,BET-4505,GAM-886,same_material
ALP-006,BET-4506,GAM-887,same_material
ALP-007,BET-4507,GAM-888,same_material
ALP-008,BET-4508,GAM-889,same_material
ALP-009,BET-4509,GAM-890,same_material
ALP-010,BET-4510,GAM-891,same_material
ALP-011,BET-4511,GAM-892,same_material
ALP-012,BET-4512,GAM-893,same_material
ALP-013,BET-4513,GAM-894,same_material
ALP-014,BET-4514,GAM-895,same_material
ALP-015,BET-4515,GAM-896,same_material
ALP-016,BET-4516,GAM-897,same_material
ALP-017,BET-4517,GAM-898,same_material
ALP-018,BET-4518,GAM-899,same_material
ALP-019,BET-4519,GAM-900,same_material
ALP-020,BET-4520,GAM-901,same_material
ALP-021,BET-4521,GAM-902,same_material
ALP-022,BET-4522,GAM-903,same_material
ALP-023,BET-4523,GAM-904,same_material
ALP-024,BET-4524,GAM-905,same_material
ALP-025,BET-4525,GAM-906,same_material
ALP-026,BET-4526,GAM-907,same_material
ALP-027,BET-4527,GAM-908,same_material
ALP-028,BET-4528,GAM-909,same_material
ALP-029,BET-4529,GAM-910,same_material
ALP-030,BET-4530,GAM-911,same_material
ALP-031,BET-4531,GAM-912,same_material
ALP-032,BET-4532,GAM-913,same_material
ALP-033,BET-4533,GAM-914,same_material
ALP-034,BET-4534,GAM-915,same_material
ALP-035,BET-4535,GAM-916,same_material
ALP-036,BET-4536,GAM-917,same_material
ALP-037,BET-4537,GAM-918,same_material
ALP-038,BET-4538,GAM-919,same_material
ALP-039,BET-4539,GAM-920,same_material
ALP-040,BET-4540,GAM-921,same_material
