alpha_code,beta_code,gamma_code,relationship
ALP-001,BET-4501,GAM-882,same_material
ALP-002,BET-4502,GAM-883,same_material
ALP-003,BET-4503,GAM-884,same_material
ALP-004,BET-4504,GAM-885,same_material
ALP-005,BET-4505,GAM-886,same_material
ALP-006,BET-4506,GAM-887,same_material
ALP-007,BET-4507,GAM-888,same_material
ALP-008,BET-4508,GAM-889,same_material
ALP-009,BET-4509,GAM-890,same_material
ALP-010,BET-4510,GAM-891,same_material
ALP-011,BET-4511,GAM-892,same_material
ALP-012,BET-4512,GAM-893,same_material
ALP-013,BET-4513,GAM-894,same_material
ALP-014,BET-4514,GAM-895,same_material
ALP-015,BET-4515,GAM-896,same_material
ALP-016,BET-4516,GAM-897,same_material
ALP-017,BET-4517,GAM-898,same_material
ALP-018,BET-4518,GAM-899,same_material
ALP-019,BET-4519,GAM-900,same_material
ALP-020,BET-4520,GAM-901,same_material
ALP-021,BET-4521,GAM-902,same_material
ALP-022,BET-4522,GAM-903,same_material
ALP-023,BET-4523,GAM-904,same_material
ALP-024,BET-4524,GAM-905,same_material
ALP-025,BET-4525,GAM-906,same_material
ALP-026,BET-4526,GAM-907,same_material
ALP-027,BET-4527,GAM-908,same_material
ALP-028,BET-4528,GAM-909,same_material
ALP-029,BET-4529,GAM-910,same_material
ALP-030,BET-4530,GAM-911,same_material
ALP-031,BET-4531,GAM-912,same_material
ALP-032,BET-4532,GAM-913,same_material
ALP-033,BET-4533,GAM-914,same_material
ALP-034,BET-4534,GAM-915,same_material
ALP-035,BET-4535,GAM-916,same_material
ALP-036,BET-4536,GAM-917,same_material
ALP-037,BET-4537,GAM-918,same_material
ALP-038,BET-4538,GAM-919,same_material
ALP-039,BET-4539,GAM-920,same_material
ALP-040,BET-4540,GAM-921,same_material
ALP-041,BET-4542,GAM-962,same_material
ALP-042,BET-4543,GAM-963,same_material
ALP-043,BET-4544,GAM-964,same_material
ALP-044,BET-4545,GAM-965,same_material
ALP-045,BET-4546,GAM-966,same_material
ALP-046,BET-4547,GAM-967,same_material
ALP-047,BET-4548,GAM-968,same_material
ALP-048,BET-4549,GAM-969,same_material
ALP-049,BET-4550,GAM-970,same_material
ALP-050,BET-4551,GAM-971,same_material
ALP-051,BET-4552,GAM-972,same_material
ALP-052,BET-4553,GAM-973,same_material
ALP-053,BET-4554,GAM-974,same_material
ALP-054,BET-4555,GAM-975,same_material
ALP-055,BET-4556,GAM-976,same_material
ALP-056,BET-4557,GAM-977,same_material
ALP-057,BET-4558,GAM-978,same_material
ALP-058,BET-4559,GAM-979,same_material
ALP-059,BET-4560,GAM-980,same_material
ALP-060,BET-4561,GAM-981,same_material
ALP-061,BET-4562,GAM-982,same_material
ALP-062,BET-4563,GAM-983,same_material
ALP-063,BET-4564,GAM-984,same_material
ALP-064,BET-4565,GAM-985,same_material
ALP-065,BET-4566,GAM-986,same_material
ALP-066,BET-4567,GAM-987,same_material
ALP-067,BET-4568,GAM-988,same_material
ALP-068,BET-4569,GAM-989,same_material
ALP-069,BET-4570,GAM-990,same_material
ALP-070,BET-4571,GAM-991,same_material
ALP-071,BET-4572,GAM-992,same_material
ALP-072,BET-4573,GAM-993,same_material
ALP-073,BET-4574,GAM-994,same_material
ALP-074,BET-4575,GAM-995,same_material
ALP-075,BET-4576,GAM-996,same_material
ALP-076,BET-4577,GAM-997,same_material
ALP-077,BET-4578,GAM-998,same_material
ALP-078,BET-4579,GAM-999,same_material
ALP-079,BET-4580,GAM-1000,same_material
ALP-080,BET-4581,GAM-1001,same_material
ALP-081,BET-4582,GAM-1002,same_material
ALP-082,BET-4583,GAM-1003,same_material
ALP-083,BET-4584,GAM-1004,same_material
ALP-084,BET-4585,GAM-1005,same_material
ALP-085,BET-4586,GAM-1006,same_material
ALP-086,BET-4587,GAM-1007,same_material
ALP-087,BET-4588,GAM-1008,same_material
ALP-088,BET-4589,GAM-1009,same_material
ALP-089,BET-4590,GAM-1010,same_material
ALP-090,BET-4591,GAM-1011,same_material
ALP-001,BET-4526,GAM-907,different_length_50_vs_60mm
ALP-005,BET-4506,GAM-887,different_pipe_diameter_50_vs_75mm
ALP-007,BET-4508,GAM-889,different_valve_size_50_vs_100mm
ALP-013,BET-4514,GAM-895,different_plate_thickness_6_vs_10mm
ALP-011,BET-4512,GAM-893,different_cable_size_4_vs_6sqmm
ALP-003,BET-4517,GAM-898,different_nut_size_M10_vs_M12
ALP-009,BET-4510,GAM-891,different_bearing_6205_vs_6206
ALP-015,BET-4523,GAM-904,different_steel_grade_SS304_vs_SS316
ALP-018,BET-4525,GAM-906,different_pipe_material_GI_vs_MS
ALP-019,BET-4524,GAM-905,different_valve_type_butterfly_vs_gate
